Title;Subtitle;Image;Standart Price;Discount Price;Discount;Messaning
Nike Air Max Dia;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/uu6entw8wzktcrgbkgob/air-max-dia-womens-shoes-7Vf0Hb.png;$110;$99.97;91%;
Nike Air Max 90;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3f0dd8d9-4340-48a8-a757-f493f4bdb2e3/air-max-90-womens-shoes-2ZsM2w.png;$130;$97.97;75%;
LeBron Witness 6 (Team);Basketball Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4bdee219-c49a-4194-b606-ebf5ee2fd9a1/lebron-witness-6-team-basketball-shoes-d6BdZB.png;$105;$89.97;86%;
Nike Pegasus 39;Men's Road Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/851c011e-1c42-4c44-87b8-d14af5c95ff1/pegasus-39-mens-road-running-shoes-d4dvtm.png;$135;$66.97;50%;
Nike SB Nyjah Free 2;Skate Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4688228a-b95b-4e49-9127-54723a205f1e/sb-nyjah-free-2-skate-shoes-s4Kt9q.png;$100;$85.97;86%;
Nike Air Force 1 Fontanka;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9dcb8a6b-ddfe-45e1-b331-2aef0db3239c/air-force-1-fontanka-womens-shoes-cWbdwn.png;$130;$72.97;56%;
Nike Air Max Bella TR 5 Premium;Women's Training Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/47fa0f2c-3693-462c-9871-51d5d7233c44/air-max-bella-tr-5-premium-womens-training-shoes-tLCg4B.png;$90;$63.97;71%;
Giannis Immortality;Basketball Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f5138ce4-0d31-480b-a939-bc8cdbb95bdc/giannis-immortality-basketball-shoes-p9QlJF.png;$80;$74.97;94%;
Nike Flex Runner 2;Big Kids' Road Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/82d1a425-30ec-4579-b8ff-01c39c428045/flex-runner-2-big-kids-road-running-shoes-klcs9r.png;$50;$35.97;72%;Best Seller
Luka 1;Basketball Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ab04ef47-a476-4eed-9b00-2920789ad590/luka-1-basketball-shoes-69X9Vs.png;$110;$93.97;85%;Best Seller
Nike Air Force 1 Low Retro;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a7780835-521f-41cb-953d-04b2559f597a/air-force-1-low-retro-mens-shoes-1VHstQ.png;$150;$102.97;69%;
Nike Air Force 1 '07 LV8;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/18734018-620a-4d31-bebf-eeeaa7e3cc76/air-force-1-07-lv8-mens-shoes-M866WJ.png;$130;$97.97;75%;
Nike Air Force 1 '07 Premium;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/63c3fb6c-a3d1-4e2d-81b1-9ce20e690bfa/air-force-1-07-premium-womens-shoes-6xVZ4x.png;$140;$84.97;61%;Sold Out
Nike Air Max INTRLK Lite;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/acfcdbfe-e77a-45e9-a0f6-723ad4f4500b/air-max-intrlk-lite-womens-shoes-LL98FV.png;$80;$68.97;86%;
Nike Air Force 1 Mid '07 Premium;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e1b80be6-fce8-4f2f-820e-fad7dd1a1272/air-force-1-mid-07-premium-mens-shoes-6HzNcj.png;$185;$98.97;53%;
Nike Air Max 90;Big Kids' Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3f95f20e-8614-448e-ae34-749facdf5da7/air-max-90-big-kids-shoes-NP4d1g.png;$110;$76.97;70%;
Nike Free Run 2018;Men's Road Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/lstznmmah3ytjqo8ddgd/free-run-2018-mens-road-running-shoes-RRT9elMk.png;$120;$99.97;83%;
Nike Air Max 270 G;Golf Shoe;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/19748bd0-5a80-4583-9c3f-e29a24044a58/air-max-270-g-golf-shoe-GVHWZK.png;$150;$127.97;85%;
Nike React Phantom Run Flyknit 2;Women's Road Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2123b3df-7365-4f03-a636-5ef502a8cbcf/react-phantom-run-flyknit-2-womens-road-running-shoes-65fS2h.png;$140;$78.97;56%;
Nike Air Max 90;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c82a3be3-4e66-4dfa-ab1a-ba0b71271020/air-max-90-mens-shoes-vJVvD1.png;$140;$99.97;71%;
Nike Quest 5;Men's Road Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a39e8fb4-0067-48fa-9ca1-12c6bbb8bed1/quest-5-mens-road-running-shoes-1tmPXN.png;$80;$47.97;60%;
Nike Air Max 90 SE;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ef0a59a1-298f-4cb1-8d83-0ae8f42dd4b0/air-max-90-se-mens-shoes-2VX0QQ.png;$140;$119.97;86%;
Air Jordan 11 CMFT Low;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cd44107d-9c7a-4904-8dda-f13711581870/air-jordan-11-cmft-low-mens-shoes-Chz8HV.png;$130;$110.97;85%;
NikeCourt Zoom Lite 3 Premium;Women's Hard Court Tennis Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5527c325-3b9e-41df-8d3e-5fa4033ad269/nikecourt-zoom-lite-3-premium-womens-hard-court-tennis-shoes-WV9L4F.png;$70;$47.97;69%;
Giannis Immortality 2;Basketball Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/75251939-a090-43b5-8c65-8e32eadc2abd/giannis-immortality-2-basketball-shoes-X7xj7b.png;$85;$59.97;71%;
Nike Pegasus 38 (NFL Pittsburgh Steelers);Men's Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a69ba219-ca54-4692-bae6-3352c53cdc6e/pegasus-38-pittsburgh-steelers-mens-running-shoes-884pG1.png;$130;$65;50%;
Nike Air Force 1 PLT.AF.ORM;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ad483832-5d32-4ff6-bb1c-18a78a6f27dd/air-force-1-pltaform-womens-shoes-XL2m2Q.png;$130;$99.97;77%;
Nike Air Zoom G.T. Cut 2;Basketball Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/71abbe90-175a-4819-9daf-005841234a3a/air-zoom-gt-cut-2-basketball-shoes-tmfmFl.png;$170;$144.97;85%;
Nike Precision 5;Basketball Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/31d5f3fc-69f1-4248-af95-e8e6c9ac4ea9/precision-5-basketball-shoes-PKN7Vk.png;$70;$49.97;71%;
Air Force 1 '07 SE;Women's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/24b4c3b7-ae72-4130-8c42-d231705fa05e/air-force-1-07-se-womens-shoes-wqlbRX.png;$120;$80.97;67%;
Nike Air Max Dawn;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0216ab55-5213-48a4-a80a-a13b1d0efdb6/air-max-dawn-mens-shoes-Rg69GM.png;$115;$72.97;63%;Sustainable Materials
Nike Pegasus FlyEase;Men's Easy On/Off Road Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cb4c9349-3c76-45fc-ac78-bb4eaf8fd2e6/pegasus-flyease-mens-easy-on-off-road-running-shoes-GCZ6Sx.png;$130;$89.97;69%;
Nike Force 1 Crater Next Nature;Baby/Toddler Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4aa860ff-a43b-4950-8dee-eb0e82199cce/force-1-crater-next-nature-baby-toddler-shoes-QcGLbZ.png;$65;$45.97;71%;Sustainable Materials
Nike Air Max 2090;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/i1-8c23e151-3f4d-4202-9e5b-e57dfbf07ce9/air-max-2090-mens-shoes-3pVM46.png;$150;$119.97;80%;
Nike Air Max 95 QS;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e60ce8b1-732b-4fc2-ab7c-7c513149db78/air-max-95-qs-mens-shoes-xdg8nq.png;$180;$85.97;48%;
Nike Free Run 2018;Women's Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/rh5veynjz5rz5x4o5xwg/free-run-2018-womens-running-shoes-2Xz32l.png;$120;$99.97;83%;
Nike Air Zoom SuperRep 3;Men's HIIT Class Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/49cbb1f8-61d0-42fd-a1eb-f04eeac991fd/air-zoom-superrep-3-mens-hiit-class-shoes-TCSt9C.png;$120;$92.97;77%;
Nike Air Max 2021;Womens Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/4abb154a-0691-4324-ab6f-936af4612fab/air-max-2021-womens-shoes-CkfHnZ.png;$160;$117.97;74%;Sustainable Materials
Nike Pegasus 38 Shield;Men's Weatherized Road Running Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/972156fe-f677-452a-8f56-f65341c1806e/pegasus-38-shield-mens-weatherized-road-running-shoes-qfJD8K.png;$130;$84.97;65%;
Nike Air Force 1 '07;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5ad0e77c-5992-418a-b8f8-7c2cc8dc2a2c/air-force-1-07-mens-shoes-vRgTMx.png;$110;$93.97;85%;
KD Trey 5 IX;Basketball Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e271c09d-ea09-4c52-8c8b-d38eb7967e7b/kd-trey-5-ix-basketball-shoes-1HJf9Q.png;$90;$74.97;83%;
Zoom Freak 4 (Team);Basketball Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5ccd9241-73a7-404d-a997-dd0c6231db0c/zoom-freak-4-team-basketball-shoes-p95BnP.png;$130;$72.97;56%;
Nike Legend Essential 2;Men's Training Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0798a808-87e6-4637-b182-44336f845949/legend-essential-2-mens-training-shoes-b2RV7x.png;$60;$51.97;87%;
Nike Air Force 1 React;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1c67261f-7263-4fdc-8bef-39c928807fe2/air-force-1-react-mens-shoes-WSjfs8.png;$140;$119.97;86%;
Nike Air Zoom Flight 95;Men's Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b4445665-4f02-467e-9217-e6985eb5a83f/air-zoom-flight-95-mens-shoes-zc42bP.png;$185;$95.97;52%;
Nike Infinity Pro 2;Men's Golf Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a7e7b407-77c9-4c6c-98e4-0339bd637d7d/infinity-pro-2-mens-golf-shoes-TsqzdV.png;$110;$88.97;81%;
Nike Victory G Lite NN;Golf Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/70436206-0a45-40d4-9760-22d27e2b965c/victory-g-lite-nn-golf-shoes-nHl2CN.png;$70;$48.97;70%;Sustainable Materials
Jordan 1 Retro MCS Low;Men's Baseball Cleats;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/nb0ogxytkwgetqh9mixm/jordan-1-retro-mcs-low-mens-baseball-cleats-bM8M6j.png;$140;$96.97;69%;
Nike SB Zoom Blazer Low Pro GT;Skate Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/61bdd43c-9c12-4782-816a-00d56894b7a4/sb-zoom-blazer-low-pro-gt-skate-shoes-lzbVB5.png;$85;$75.97;89%;
NikeCourt Air Zoom Vapor Pro;Men's Hard Court Tennis Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/031cd3ee-1e61-4d89-a838-7f3fb02c3453/nikecourt-air-zoom-vapor-pro-mens-hard-court-tennis-shoes-wPkbb5.png;$120;$87.97;73%;
Nike Air Max Motif Next Nature;Big Kids' Shoes;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a6b8b31e-938e-44bd-913a-37a0369f9efb/air-max-motif-next-nature-big-kids-shoes-mtCxdB.png;$130;$53.97;42%;
