Title;Subtitle;Image;Standart Price;Discount Price;Discount;Messaning
Jordan Flight;Women's Woven Jacket;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ddf90d09-8a74-43c4-bbaf-cae0cff67f63/jordan-flight-womens-woven-jacket-qQMWQX.png;$100;$61.97;38%;
Nike Solo Swoosh;Men's Full-Zip Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/a2e47847-73f6-44fc-9650-0771585cb113/solo-swoosh-mens-full-zip-hoodie-8bKgZZ.png;$100;$63.97;36%;
Nike Sportswear;Big Kids' T-Shirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/63139eff-9827-44f0-8325-f7c6b24533c6/sportswear-big-kids-t-shirt-StHcLD.png;$25;$12.97;48%;
Nike One;Women's Mid-Rise 7/8 Graphic Training Leggings;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7be03dd8-666c-4ae9-954a-75daff53efd2/one-womens-mid-rise-7-8-graphic-training-leggings-d3L0Gx.png;$62;$42.97;31%;Sustainable Materials
Nike Everyday Plus Force;Cushioned Crew Socks;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3a711b0d-b3d9-4f2f-b1b2-656d097e144b/everyday-plus-force-cushioned-crew-socks-H99ljW.png;$20;$12.97;35%;
Nike Sportswear;Men's Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2161fd51-30cc-4d58-957e-34ee09cd7212/sportswear-mens-hoodie-0vNwpV.png;$60;$47.97;20%;
Jordan Artist Series by Mia Lee;Women's Fleece Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/992168de-b010-47d3-a071-43ab07dfbae7/jordan-artist-series-by-mia-lee-womens-fleece-hoodie-F2MVls.png;$85;$68.97;19%;Best Seller
Nike Dri-FIT;Men's Fleece Pullover Fitness Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/928e9cfd-8df6-43d9-8e9f-c3bbab603808/dri-fit-mens-fleece-pullover-fitness-hoodie-srSNwQ.png;$75;$49.97;33%;Sustainable Materials
Nike Sportswear Essential;Women's 7/8 Mid-Rise Leggings (Plus Size);https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/29d7a256-1824-428c-af47-147b98455e1f/sportswear-essential-womens-7-8-mid-rise-leggings-plus-size-Z5L893.png;$42;$35.97;14%;
Nike Sportswear Club Fleece;Big Kids' (Boys') Joggers;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e7795c32-2eb6-4eba-91f9-9955b61d4ac6/sportswear-club-fleece-big-kids-boys-joggers-VjhJzZ.png;$35;$28.97;17%;
Nike One Luxe;Women's Mid-Rise Leggings;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/mrydet2nfz6ebjrwfupc/one-luxe-womens-mid-rise-leggings-RsnpP5.png;$90;$40.97;54%;Sustainable Materials
Nike Sportswear Tribute;Men's N98 Jacket;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b76295e3-5c4e-45a0-9766-a1be156642e3/sportswear-tribute-mens-n98-jacket-G5Jv1Z.png;$85;$55.97;34%;Sustainable Materials
Nike Sportswear Phoenix Fleece;Women's Oversized Pullover Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/812174d1-76ac-4909-a5fe-61aa16a9645b/sportswear-phoenix-fleece-womens-oversized-pullover-hoodie-bs372Q.png;$70;$52.97;24%;Best Seller
Nike Dri-FIT Legend;Men's Training T-Shirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/09b25a46-0012-4407-8f01-e3cf30834b87/dri-fit-legend-mens-training-t-shirt-knTPqEkv.png;$25;$20.97;16%;
Nike Therma-FIT Standard Issue;Men's Winterized Basketball Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f1865506-f52d-48c4-b43a-d6bb513ce87a/therma-fit-standard-issue-mens-winterized-basketball-pants-WBcgTh.png;$90;$67.97;24%;
Nike Pro;"Women's High-Waisted 3"" Training Shorts with Pockets";https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d17a7fb2-9480-4eeb-ab4d-8de4ec077da0/pro-womens-high-waisted-3-training-shorts-with-pockets-ggGSTK.png;$35;$20.97;40%;Sustainable Materials
Nike Everyday Essential;Crew Socks (3 Pairs);https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0cf1ed9b-9537-4d63-87af-3272d1e28801/everyday-essential-crew-socks-3-pairs-kRP8H8.png;$20;$17.97;10%;Sustainable Materials
Nike Everyday Plus Cushioned;Training Ankle Socks;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/38e140bb-35c7-4aba-8fa4-8fd7f158f461/everyday-plus-cushioned-training-ankle-socks-rFfl5l.png;$10;$8.97;10%;
Jordan Brand Sorry;Men's Pullover Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5242c408-5b4e-48c4-9680-382f76f1d3ce/jordan-brand-sorry-mens-pullover-hoodie-Fwp6Dj.png;$80;$56.97;29%;Best Seller
Nike Sportswear;Women's Full-Zip Hoodie;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d1a0aed0-76f7-4782-9c40-105afa325df3/sportswear-womens-full-zip-hoodie-DK7jLr.png;$75;$37.97;49%;
Nike Pro;"Women's Mid-Rise 3"" Printed Training Shorts";https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ae5c1530-781a-4351-9f0a-89a35d44d859/pro-womens-mid-rise-3-printed-training-shorts-hr15ZJ.png;$35;$24.97;29%;Sustainable Materials
Nike Therma-FIT One Icon Clash;Women's Mid-Rise Training Leggings;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/16999c9c-752f-4d3f-9d75-1fd2ec06dedd/therma-fit-one-icon-clash-womens-mid-rise-training-leggings-Jj7HWw.png;$70;$49.97;29%;Sustainable Materials
Nike Sportswear;Big Kids' (Boys') T-Shirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b2ff5f23-1a7b-4b2f-b693-7da9bbb0e27b/sportswear-big-kids-boys-t-shirt-7dX4Vn.png;$20;$12.97;35%;
Nike One;Women's Mid-Rise 7/8 Mesh-Paneled Leggings;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/aff2fc2f-d8b0-47ef-9465-8fefbff4c14e/one-womens-mid-rise-7-8-mesh-paneled-leggings-K0R7GT.png;$58;$49.97;14%;Sustainable Materials
Nike Flex Stride;"Men's 5"" Brief Running Shorts";https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/543981d6-11e3-4358-bd29-59f74bdbe4d4/flex-stride-mens-5-brief-running-shorts-CTBq85.png;$50;$29.97;40%;Sustainable Materials
"Nike Dri-FIT ""HWPO""";Men's T-Shirt;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8f90d767-67ec-455b-a501-dbb86e89fb11/dri-fit-hwpo-mens-t-shirt-5wB6Vh.png;$35;$26.97;23%;
Nike Yoga Luxe Dri-FIT;Women's Full-Zip Jacket;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b8d7292c-3925-4d15-a67c-991cd9741fe0/yoga-luxe-dri-fit-womens-full-zip-jacket-G4V5dQ.png;$130;$72.97;44%;
Nike Dri-FIT Swoosh Fly;Women's Boxy Tee;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/60c11350-aaa8-4dfc-96d2-1ff11e774685/dri-fit-swoosh-fly-womens-boxy-tee-jtHDFg.png;$35;$20.97;40%;
Nike Sportswear;Faux Fur Blanket;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/68252443-c291-42d7-b5ba-535b06d252fb/sportswear-faux-fur-blanket-twT4gD.png;$200;$170.97;15%;
Nike Dri-FIT;Men's Fleece Tapered Running Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5ab8d2c4-4896-4914-b1b9-42d877d44161/dri-fit-mens-fleece-tapered-running-pants-z0dlqG.png;$65;$52.97;19%;Sustainable Materials
Nike Swoosh;Women's Medium-Support 1-Piece Padded Longline Sports Bra;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7a522876-d34c-4e18-986a-b4b9da3eef4b/swoosh-womens-medium-support-1-piece-padded-longline-sports-bra-btJ8l4.png;$42;$27.97;33%;Sustainable Materials
Nike Swoosh;Women's Medium-Support Non-Padded Sports Bra;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/554d2451-05b0-4258-8ffd-a10acdb13d67/swoosh-womens-medium-support-non-padded-sports-bra-Pt3DRG.png;$32;$23.97;25%;Best Seller
Nike Therma-FIT;Big Kids' (Boys') Tapered Training Pants;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cc07f5c0-ec82-4c0c-9436-58724d7bc487/therma-fit-big-kids-boys-tapered-training-pants-1BfF37.png;$42;$17.97;57%;Sustainable Materials
Nike Pro;Big Kids' (Boys') Sleeveless Top;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/894be476-0f94-4dfe-b0d4-b65688a1ee42/pro-big-kids-boys-sleeveless-top-DlZft6.png;$25;$11.97;52%;Sustainable Materials
Nike Dri-FIT Elite;Men's Basketball Shorts;https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/de636a58-532c-42bd-82f3-06e14e8403cd/dri-fit-elite-mens-basketball-shorts-ptJdw7.png;$45;$36.97;18%;
